Comunidad,Año,Mes,Temperatura Media,Temperatura Minima,Temperatura Maxima,Presion Maxima,Racha
Cataluña,2013,Junio,19.02,13.35,24.69,973.29,9.41
Canarias,2013,Junio,21.1,18.07,24.12,991.06,12.21
Cantabria,2013,Junio,14.67,10.83,18.51,994.38,9.48
Castilla-La Mancha,2013,Junio,19.97,12.24,27.69,934.4,10.02
Castilla y León,2013,Junio,15.77,8.38,23.16,912.66,10.07
Comunidad de Madrid,2013,Junio,19.29,12.04,26.55,919.94,10.71
Comunidad Foral de Navarra,2013,Junio,17.46,11.72,23.2,976.73,10.84
Comunidad Valenciana,2013,Junio,20.82,15.17,26.46,989.19,9.51
Extremadura,2013,Junio,22.29,14.65,29.92,976.03,9.84
Galicia,2013,Junio,16.14,10.91,21.37,990.12,10.43
País Vasco,2013,Junio,15.6,11.54,19.67,998.41,9.31
Principado de Asturias,2013,Junio,14.22,10.86,17.58,986.61,9.84
Región de Murcia,2013,Junio,21.97,15.8,28.14,991.61,9.89
La Rioja,2013,Junio,18.0,11.95,24.06,978.34,8.19
Ceuta,2013,Junio,20.78,17.79,23.76,1009.34,9.07
Melilla,2013,Junio,21.32,18.24,24.39,1012.25,10.67
Andalucía,2013,Julio,25.46,19.02,31.91,981.33,9.53
Aragón,2013,Julio,24.09,16.3,31.88,945.52,10.54
Islas Baleares,2013,Julio,25.4,20.17,30.61,1015.64,8.98
Cataluña,2013,Julio,24.08,18.1,30.06,979.52,9.27
Canarias,2013,Julio,23.15,20.06,26.23,990.12,11.57
Cantabria,2013,Julio,20.12,15.37,24.87,992.92,8.38
Castilla-La Mancha,2013,Julio,25.39,17.08,33.7,934.94,10.12
Castilla y León,2013,Julio,21.88,13.8,29.95,913.19,10.65
Comunidad de Madrid,2013,Julio,25.02,17.53,32.51,919.65,10.73
Comunidad Foral de Navarra,2013,Julio,24.55,17.07,32.03,976.01,10.94
Comunidad Valenciana,2013,Julio,25.22,19.56,30.88,990.19,9.2
Extremadura,2013,Julio,27.07,18.86,35.27,975.66,9.29
Galicia,2013,Julio,21.35,15.43,27.28,988.35,9.05
País Vasco,2013,Julio,21.85,16.8,26.9,997.53,8.67
Principado de Asturias,2013,Julio,19.47,15.99,22.96,996.3,8.42
Región de Murcia,2013,Julio,25.72,19.31,32.11,992.09,9.54
La Rioja,2013,Julio,24.34,16.47,32.21,977.91,9.58
Ceuta,2013,Julio,23.17,20.01,26.32,1008.61,7.55
Melilla,2013,Julio,24.35,21.74,26.97,1011.88,8.71
Andalucía,2013,Agosto,26.45,20.1,32.79,981.36,9.23
Aragón,2013,Agosto,22.42,15.01,29.83,947.46,10.37
Islas Baleares,2013,Agosto,25.07,20.4,29.74,1014.78,9.97
Cataluña,2013,Agosto,23.09,17.4,28.78,975.6,9.1
Canarias,2013,Agosto,24.84,21.6,28.08,987.85,12.57
Cantabria,2013,Agosto,18.86,14.3,23.42,993.78,8.86
Castilla-La Mancha,2013,Agosto,24.88,16.81,32.96,934.86,9.65
Castilla y León,2013,Agosto,20.27,11.96,28.58,913.35,9.75
Comunidad de Madrid,2013,Agosto,24.53,16.97,32.09,917.98,10.14
Comunidad Foral de Navarra,2013,Agosto,21.76,15.28,28.25,976.47,10.57
Comunidad Valenciana,2013,Agosto,24.65,19.7,29.6,989.22,9.07
Extremadura,2013,Agosto,27.28,18.89,35.66,974.98,9.09
Galicia,2013,Agosto,20.23,14.25,26.21,990.64,10.67
País Vasco,2013,Agosto,19.59,15.19,23.99,999.06,8.54
Principado de Asturias,2013,Agosto,18.09,14.33,21.86,987.36,8.92
Región de Murcia,2013,Agosto,25.96,20.23,31.67,990.92,9.3
La Rioja,2013,Agosto,22.34,15.39,29.32,979.29,7.46
Ceuta,2013,Agosto,24.78,21.64,27.95,1007.51,7.73
Melilla,2013,Agosto,26.24,23.43,29.05,1010.52,9.0
Andalucía,2013,Septiembre,23.09,17.72,28.45,979.6,9.32
Aragón,2013,Septiembre,19.53,12.51,26.55,942.79,9.62
Islas Baleares,2013,Septiembre,22.26,17.91,26.61,1015.2,9.36
Cataluña,2013,Septiembre,20.49,14.82,26.17,979.0,8.8
Canarias,2013,Septiembre,23.27,20.27,26.27,991.3,10.12
Cantabria,2013,Septiembre,17.83,13.06,22.6,991.33,9.65
Castilla-La Mancha,2013,Septiembre,21.01,13.78,28.25,934.45,8.9
Castilla y León,2013,Septiembre,17.62,10.25,24.99,912.54,9.57
Comunidad de Madrid,2013,Septiembre,20.45,13.75,27.15,921.42,9.29
Comunidad Foral de Navarra,2013,Septiembre,18.81,12.3,25.31,975.72,9.79
Comunidad Valenciana,2013,Septiembre,22.6,17.52,27.68,987.88,8.88
Extremadura,2013,Septiembre,23.81,16.69,30.93,976.07,9.3
Galicia,2013,Septiembre,19.17,13.65,24.7,988.35,10.0
País Vasco,2013,Septiembre,18.74,13.87,23.61,995.74,9.01
Principado de Asturias,2013,Septiembre,17.28,13.59,20.96,981.01,8.97
Región de Murcia,2013,Septiembre,23.53,18.21,28.85,991.19,8.59
La Rioja,2013,Septiembre,19.39,12.6,26.18,977.59,8.66
Ceuta,2013,Septiembre,23.3,20.71,25.91,1008.34,8.7
Melilla,2013,Septiembre,23.78,21.12,26.45,1011.98,8.66
Andalucía,2013,Octubre,19.69,14.39,25.0,980.87,8.32
Aragón,2013,Octubre,15.84,9.65,22.03,944.08,9.43
Islas Baleares,2013,Octubre,20.95,16.91,25.0,1015.92,9.91
Cataluña,2013,Octubre,17.59,12.58,22.84,973.19,8.2
Canarias,2013,Octubre,22.46,19.53,25.39,992.67,10.62
Cantabria,2013,Octubre,15.95,11.65,20.25,992.31,11.61
Castilla-La Mancha,2013,Octubre,16.08,9.76,22.41,935.06,8.21
Castilla y León,2013,Octubre,12.71,7.46,17.95,912.44,9.87
Comunidad de Madrid,2013,Octubre,14.13,8.92,19.34,911.57,9.36
Comunidad Foral de Navarra,2013,Octubre,16.09,10.66,21.51,976.19,10.55
Comunidad Valenciana,2013,Octubre,20.31,14.99,25.63,988.16,7.89
Extremadura,2013,Octubre,17.89,12.38,23.39,977.74,8.14
Galicia,2013,Octubre,15.65,11.76,19.54,988.04,11.66
País Vasco,2013,Octubre,16.81,12.22,21.4,995.95,10.96
Principado de Asturias,2013,Octubre,15.01,11.15,18.87,982.83,10.61
Región de Murcia,2013,Octubre,21.13,15.62,26.62,991.86,7.88
La Rioja,2013,Octubre,15.55,9.43,21.69,977.98,7.83
Ceuta,2013,Octubre,21.17,18.18,24.17,1009.23,8.51
Melilla,2013,Octubre,21.76,18.34,25.17,1012.58,9.13
Andalucía,2013,Noviembre,12.52,7.35,17.69,980.6,9.27
Aragón,2013,Noviembre,8.29,4.02,12.58,943.16,13.2
Islas Baleares,2013,Noviembre,13.05,9.39,16.7,1014.86,13.28
Cataluña,2013,Noviembre,10.26,5.45,15.07,971.71,11.37
Canarias,2013,Noviembre,20.25,17.63,22.88,992.8,11.04
Cantabria,2013,Noviembre,10.5,7.86,13.15,1002.23,13.5
Castilla-La Mancha,2013,Noviembre,7.87,2.47,13.25,935.37,9.34
Castilla y León,2013,Noviembre,5.99,1.61,10.38,914.64,11.5
Comunidad de Madrid,2013,Noviembre,7.25,2.51,11.99,913.28,11.75
Comunidad Foral de Navarra,2013,Noviembre,8.82,5.44,12.2,978.19,12.22
Comunidad Valenciana,2013,Noviembre,13.26,8.18,18.32,987.94,11.63
Extremadura,2013,Noviembre,10.09,4.64,15.54,979.7,8.75
Galicia,2013,Noviembre,10.42,6.96,13.88,994.18,11.69
País Vasco,2013,Noviembre,9.94,7.31,12.57,1000.3,13.19
Principado de Asturias,2013,Noviembre,9.77,7.26,12.29,990.98,12.44
Región de Murcia,2013,Noviembre,13.44,7.78,19.11,992.31,10.6
La Rioja,2013,Noviembre,9.61,5.96,13.27,980.95,9.85
Ceuta,2013,Noviembre,16.23,13.56,18.91,1010.41,10.99
Melilla,2013,Noviembre,16.14,12.79,19.49,1013.81,11.44
Andalucía,2013,Diciembre,10.86,5.91,15.8,987.18,9.63
Aragón,2013,Diciembre,4.79,-0.66,10.24,949.01,7.82
Islas Baleares,2013,Diciembre,11.26,6.96,15.57,1023.72,9.56
Cataluña,2013,Diciembre,7.42,2.57,12.27,980.94,7.78
Canarias,2013,Diciembre,18.38,15.72,21.04,996.48,11.48
Cantabria,2013,Diciembre,8.65,4.51,12.79,999.78,12.53
Castilla-La Mancha,2013,Diciembre,5.44,-0.91,11.78,940.77,7.94
Castilla y León,2013,Diciembre,3.56,-1.47,8.58,916.75,9.51
Comunidad de Madrid,2013,Diciembre,4.92,-0.3,10.14,916.49,9.04
Comunidad Foral de Navarra,2013,Diciembre,5.32,0.12,10.52,982.95,9.15
Comunidad Valenciana,2013,Diciembre,9.92,4.69,15.16,994.57,8.42
Extremadura,2013,Diciembre,8.26,2.79,13.73,984.63,8.5
Galicia,2013,Diciembre,8.83,4.93,12.74,994.19,12.74
País Vasco,2013,Diciembre,8.76,4.62,12.89,1002.19,12.74
Principado de Asturias,2013,Diciembre,8.35,4.32,12.38,989.92,12.07
Región de Murcia,2013,Diciembre,10.37,5.02,15.7,999.54,8.23
La Rioja,2013,Diciembre,4.9,0.27,9.52,984.78,7.58
Ceuta,2013,Diciembre,14.63,12.49,16.76,1016.87,11.09
Melilla,2013,Diciembre,14.12,11.25,16.98,1020.77,10.26
Andalucía,2014,Enero,10.88,6.83,14.92,980.24,10.44
Aragón,2014,Enero,6.76,2.73,10.8,940.04,10.44
Islas Baleares,2014,Enero,11.69,8.14,15.24,1013.0,12.29
Cataluña,2014,Enero,8.62,4.43,12.8,970.72,9.36
Canarias,2014,Enero,17.0,14.13,19.87,996.17,12.27
Cantabria,2014,Enero,9.48,6.32,12.65,987.03,15.23
Castilla-La Mancha,2014,Enero,7.02,2.87,11.18,931.75,10.43
Castilla y León,2014,Enero,5.27,1.7,8.83,908.51,12.47
Comunidad de Madrid,2014,Enero,5.85,2.53,9.17,907.81,11.97
Comunidad Foral de Navarra,2014,Enero,7.66,4.02,11.31,972.58,10.7
Comunidad Valenciana,2014,Enero,11.4,6.87,15.93,984.75,11.43
Extremadura,2014,Enero,9.67,5.94,13.41,977.24,11.07
Galicia,2014,Enero,9.25,6.71,11.78,986.25,13.52
País Vasco,2014,Enero,10.07,6.97,13.18,992.35,14.86
Principado de Asturias,2014,Enero,8.78,5.83,11.72,980.91,14.61
Región de Murcia,2014,Enero,11.91,6.82,17.0,990.65,10.51
La Rioja,2014,Enero,7.7,3.88,11.5,974.44,9.38
Ceuta,2014,Enero,14.06,11.77,16.34,1010.99,11.76
Melilla,2014,Enero,14.53,11.71,17.35,1013.88,13.84
Andalucía,2014,Febrero,10.7,6.62,14.77,982.61,11.94
Aragón,2014,Febrero,6.4,1.43,11.37,943.7,11.96
Islas Baleares,2014,Febrero,11.49,7.05,15.92,1015.25,13.69
Cataluña,2014,Febrero,8.62,3.37,13.86,971.34,11.13
Canarias,2014,Febrero,16.73,13.83,19.63,997.36,12.61
Cantabria,2014,Febrero,8.85,4.81,12.88,987.27,16.91
Castilla-La Mancha,2014,Febrero,6.85,2.46,11.23,934.03,12.51
Castilla y León,2014,Febrero,4.41,0.28,8.54,909.29,14.68
Comunidad de Madrid,2014,Febrero,4.92,1.09,8.74,909.29,13.3
Comunidad Foral de Navarra,2014,Febrero,6.91,1.39,12.43,973.26,12.94
Comunidad Valenciana,2014,Febrero,11.38,6.26,16.49,987.56,12.36
Extremadura,2014,Febrero,9.17,5.17,13.16,978.81,12.58
Galicia,2014,Febrero,8.76,5.45,12.08,987.76,16.98
País Vasco,2014,Febrero,9.18,4.68,13.68,993.46,16.41
Principado de Asturias,2014,Febrero,8.59,4.65,12.53,980.98,17.79
Región de Murcia,2014,Febrero,12.25,6.53,17.96,992.41,12.46
La Rioja,2014,Febrero,7.28,1.19,13.37,975.34,11.92
Ceuta,2014,Febrero,13.82,11.0,16.63,1012.83,13.74
Melilla,2014,Febrero,14.67,11.39,17.94,1015.94,13.06
Andalucía,2014,Marzo,12.93,7.54,18.32,979.48,10.76
Aragón,2014,Marzo,9.66,3.15,16.17,944.97,11.63
Islas Baleares,2014,Marzo,12.24,7.82,16.67,1016.4,12.03
Cataluña,2014,Marzo,11.05,5.05,17.05,972.97,10.49
Canarias,2014,Marzo,17.32,14.4,20.24,993.26,12.93
Cantabria,2014,Marzo,9.77,5.23,14.29,993.38,12.26
Castilla-La Mancha,2014,Marzo,10.09,3.34,16.83,934.16,10.86
Castilla y León,2014,Marzo,7.71,1.51,13.9,911.97,11.64
Comunidad de Madrid,2014,Marzo,9.08,3.45,14.71,913.09,11.52
Comunidad Foral de Navarra,2014,Marzo,10.15,4.1,16.2,976.55,11.8
Comunidad Valenciana,2014,Marzo,12.8,7.0,18.6,988.82,11.2
Extremadura,2014,Marzo,11.97,6.11,17.82,978.03,10.15
Galicia,2014,Marzo,11.05,6.0,16.09,989.81,11.47
País Vasco,2014,Marzo,10.67,5.9,15.44,995.6,13.21
Principado de Asturias,2014,Marzo,9.5,5.8,13.21,986.02,11.88
Región de Murcia,2014,Marzo,13.59,7.42,19.76,992.37,11.61
La Rioja,2014,Marzo,10.33,3.96,16.69,978.53,10.75
Ceuta,2014,Marzo,14.73,12.06,17.41,1011.08,12.36
Melilla,2014,Marzo,14.73,11.78,17.68,1014.33,12.88
Andalucía,2014,Abril,17.13,11.67,22.59,979.01,9.9
Aragón,2014,Abril,14.4,7.79,21.0,943.15,11.04
Islas Baleares,2014,Abril,16.26,11.38,21.15,1013.5,11.17
Cataluña,2014,Abril,14.79,9.11,20.47,970.54,9.82
Canarias,2014,Abril,18.94,15.8,22.1,992.23,10.53
Cantabria,2014,Abril,12.72,8.71,16.74,989.82,10.32
Castilla-La Mancha,2014,Abril,15.47,8.45,22.5,932.23,10.52
Castilla y León,2014,Abril,12.01,5.68,18.34,909.84,10.29
Comunidad de Madrid,2014,Abril,13.94,7.98,19.9,909.61,10.97
Comunidad Foral de Navarra,2014,Abril,14.19,8.09,20.3,973.88,10.07
Comunidad Valenciana,2014,Abril,17.41,11.62,23.19,984.59,10.8
Extremadura,2014,Abril,16.29,10.14,22.45,975.21,9.31
Galicia,2014,Abril,13.82,9.38,18.25,987.24,10.61
País Vasco,2014,Abril,13.5,8.92,18.08,994.71,10.02
Principado de Asturias,2014,Abril,12.23,8.74,15.71,983.78,10.2
Región de Murcia,2014,Abril,18.63,12.29,24.96,989.48,10.68
La Rioja,2014,Abril,14.93,8.38,21.49,975.72,8.62
Ceuta,2014,Abril,17.76,14.42,21.09,1008.29,10.1
Melilla,2014,Abril,18.31,14.88,21.74,1011.53,11.79
Andalucía,2014,Mayo,19.45,13.37,25.52,978.28,10.38
Aragón,2014,Mayo,15.08,8.22,21.94,944.86,11.99
Islas Baleares,2014,Mayo,17.36,12.62,22.1,1015.39,10.44
Cataluña,2014,Mayo,15.85,10.29,21.42,972.29,10.0
Canarias,2014,Mayo,20.2,17.16,23.24,992.63,12.4
Cantabria,2014,Mayo,13.23,9.19,17.25,992.09,10.26
Castilla-La Mancha,2014,Mayo,17.27,9.93,24.61,932.82,10.39
Castilla y León,2014,Mayo,12.71,5.74,19.69,910.79,10.76
Comunidad de Madrid,2014,Mayo,15.39,8.89,21.88,911.95,10.98
Comunidad Foral de Navarra,2014,Mayo,14.33,8.55,20.1,975.6,11.81
Comunidad Valenciana,2014,Mayo,18.08,12.6,23.57,987.67,10.23
Extremadura,2014,Mayo,18.96,11.58,26.35,974.74,10.53
Galicia,2014,Mayo,14.21,8.88,19.55,987.16,10.38
País Vasco,2014,Mayo,13.8,9.33,18.27,997.12,10.34
Principado de Asturias,2014,Mayo,12.53,8.86,16.19,988.75,10.52
Región de Murcia,2014,Mayo,19.29,13.29,25.24,991.39,10.24
La Rioja,2014,Mayo,15.62,9.07,22.17,977.67,9.62
Ceuta,2014,Mayo,19.15,16.16,22.13,1007.68,10.47
Melilla,2014,Mayo,19.69,16.85,22.53,1011.18,10.11
Andalucía,2014,Junio,22.4,16.27,28.53,978.17,10.13
Aragón,2014,Junio,20.78,13.36,28.19,947.47,11.86
Islas Baleares,2014,Junio,22.73,17.55,27.91,1014.1,10.19
Cataluña,2014,Junio,20.97,14.99,26.95,972.03,9.31
Canarias,2014,Junio,21.43,18.35,24.51,993.55,11.37
Cantabria,2014,Junio,17.61,13.28,21.91,991.94,9.73
Castilla-La Mancha,2014,Junio,21.59,13.94,29.24,933.48,10.49
Castilla y León,2014,Junio,17.07,9.58,24.56,911.13,10.84
Comunidad de Madrid,2014,Junio,19.98,13.06,26.88,912.18,11.25
Comunidad Foral de Navarra,2014,Junio,19.95,13.18,26.72,974.91,11.21
Comunidad Valenciana,2014,Junio,22.44,16.94,27.94,987.23,9.69
Extremadura,2014,Junio,22.31,14.9,29.72,975.01,10.14
Galicia,2014,Junio,17.65,12.49,22.81,983.71,10.82
País Vasco,2014,Junio,18.63,13.67,23.58,996.27,9.88
Principado de Asturias,2014,Junio,16.36,12.28,20.45,985.92,10.11
Región de Murcia,2014,Junio,23.6,17.57,29.63,990.05,10.22
La Rioja,2014,Junio,21.02,13.53,28.51,976.76,9.3
Ceuta,2014,Junio,22.57,18.56,26.59,1007.45,10.51
Melilla,2014,Junio,23.22,19.79,26.65,1010.67,10.23
Andalucía,2014,Julio,24.63,18.36,30.9,979.11,9.7
Aragón,2014,Julio,21.4,14.22,28.58,945.55,11.66
Islas Baleares,2014,Julio,24.33,19.47,29.2,1013.6,10.46
Cataluña,2014,Julio,22.24,16.54,27.95,972.32,9.9
Canarias,2014,Julio,22.68,19.73,25.63,992.37,12.24
Cantabria,2014,Julio,19.08,15.06,23.09,991.47,9.22
Castilla-La Mancha,2014,Julio,23.73,15.89,31.57,933.19,9.75
Castilla y León,2014,Julio,19.23,11.64,26.81,911.37,10.31
Comunidad de Madrid,2014,Julio,22.76,15.64,29.89,915.76,10.84
Comunidad Foral de Navarra,2014,Julio,20.39,14.77,26.01,975.23,10.79
Comunidad Valenciana,2014,Julio,24.38,18.93,29.84,985.85,10.02
Extremadura,2014,Julio,25.19,17.18,33.21,974.45,9.43
Galicia,2014,Julio,19.4,14.39,24.41,984.8,10.74
País Vasco,2014,Julio,19.62,15.36,23.89,996.78,9.82
Principado de Asturias,2014,Julio,17.98,14.37,21.59,986.88,9.04
Región de Murcia,2014,Julio,26.05,20.04,32.05,989.1,9.86
La Rioja,2014,Julio,22.0,15.36,28.64,977.3,8.99
Ceuta,2014,Julio,24.03,20.01,28.04,1006.62,9.85
Melilla,2014,Julio,24.86,21.73,27.98,1010.03,9.99
Andalucía,2014,Agosto,25.54,18.93,32.15,977.59,9.49
Aragón,2014,Agosto,22.36,15.23,29.49,946.8,10.45
Islas Baleares,2014,Agosto,25.33,20.89,29.77,1013.6,9.38
Cataluña,2014,Agosto,22.66,17.68,27.64,971.78,8.87
Canarias,2014,Agosto,23.95,20.99,26.92,991.32,12.03
Cantabria,2014,Agosto,19.24,14.86,23.61,994.85,8.97
Castilla-La Mancha,2014,Agosto,24.7,16.8,32.61,932.63,9.57
Castilla y León,2014,Agosto,19.5,11.61,27.39,909.7,9.87
Comunidad de Madrid,2014,Agosto,23.7,16.58,30.81,914.61,10.35
Comunidad Foral de Navarra,2014,Agosto,20.71,14.5,26.93,975.01,9.53
Comunidad Valenciana,2014,Agosto,25.44,20.5,30.38,986.95,9.31
Extremadura,2014,Agosto,25.31,17.06,33.55,974.64,9.48
Galicia,2014,Agosto,18.81,13.65,23.96,984.36,10.13
País Vasco,2014,Agosto,19.44,14.98,23.89,996.18,8.84
Principado de Asturias,2014,Agosto,18.41,14.36,22.45,993.02,9.39
Región de Murcia,2014,Agosto,26.88,21.14,32.62,988.81,9.53
La Rioja,2014,Agosto,22.19,15.02,29.35,976.99,8.03
Ceuta,2014,Agosto,26.02,21.59,30.43,1006.13,9.39
Melilla,2014,Agosto,26.57,23.15,30.0,1009.44,9.99
Andalucía,2014,Septiembre,22.69,17.38,27.99,977.98,9.32
Aragón,2014,Septiembre,20.61,14.25,26.97,945.84,9.13
Islas Baleares,2014,Septiembre,24.59,20.15,29.03,1013.11,9.78
Cataluña,2014,Septiembre,21.09,16.09,26.08,971.55,7.82
Canarias,2014,Septiembre,23.97,20.91,27.04,991.14,9.23
Cantabria,2014,Septiembre,19.62,15.02,24.21,988.59,8.78
Castilla-La Mancha,2014,Septiembre,20.93,14.42,27.44,933.14,9.52
Castilla y León,2014,Septiembre,17.72,11.25,24.18,910.58,9.81
Comunidad de Madrid,2014,Septiembre,19.91,14.1,25.73,915.15,10.1
Comunidad Foral de Navarra,2014,Septiembre,20.36,14.21,26.52,973.89,9.15
Comunidad Valenciana,2014,Septiembre,23.56,18.61,28.53,987.21,8.72
Extremadura,2014,Septiembre,21.94,16.19,27.69,974.64,9.65
Galicia,2014,Septiembre,19.24,14.64,23.84,981.38,9.58
País Vasco,2014,Septiembre,20.06,14.77,25.35,993.34,8.64
Principado de Asturias,2014,Septiembre,18.94,14.87,23.01,1001.8,8.49
Región de Murcia,2014,Septiembre,24.79,19.14,30.44,988.56,9.18
La Rioja,2014,Septiembre,21.3,14.34,28.25,975.57,8.41
Ceuta,2014,Septiembre,23.79,20.06,27.54,1006.57,9.24
Melilla,2014,Septiembre,24.81,21.98,27.63,1009.98,9.46
Andalucía,2014,Octubre,20.32,14.81,25.82,979.91,8.88
Aragón,2014,Octubre,16.81,10.36,23.26,946.04,8.81
Islas Baleares,2014,Octubre,20.78,16.01,25.55,1015.56,9.26
Cataluña,2014,Octubre,18.18,12.68,23.68,973.01,7.67
Canarias,2014,Octubre,22.97,19.47,26.46,990.37,9.51
Cantabria,2014,Octubre,17.64,12.72,22.55,990.27,9.73
Castilla-La Mancha,2014,Octubre,17.49,10.83,24.15,934.86,8.31
Castilla y León,2014,Octubre,14.96,8.99,20.94,910.4,8.99
Comunidad de Madrid,2014,Octubre,16.37,10.92,21.82,915.74,8.88
Comunidad Foral de Navarra,2014,Octubre,17.43,11.18,23.69,976.11,8.27
Comunidad Valenciana,2014,Octubre,20.0,14.22,25.79,987.81,7.98
Extremadura,2014,Octubre,19.23,13.65,24.8,976.44,8.34
Galicia,2014,Octubre,17.32,12.81,21.82,982.45,9.65
País Vasco,2014,Octubre,18.12,12.78,23.46,994.9,9.64
Principado de Asturias,2014,Octubre,16.84,12.71,20.96,991.69,9.24
Región de Murcia,2014,Octubre,20.72,14.73,26.72,991.7,8.03
La Rioja,2014,Octubre,17.4,10.76,24.05,977.21,7.24
Ceuta,2014,Octubre,21.23,18.46,23.99,1008.75,8.29
Melilla,2014,Octubre,21.42,18.03,24.81,1012.37,8.53
Andalucía,2014,Noviembre,14.44,10.49,18.39,974.76,10.49
Aragón,2014,Noviembre,10.09,5.65,14.53,939.58,9.32
Islas Baleares,2014,Noviembre,16.15,12.3,20.0,1010.06,11.09
Cataluña,2014,Noviembre,12.55,8.2,16.9,965.98,8.87
Canarias,2014,Noviembre,20.12,17.21,23.03,990.3,12.75
Cantabria,2014,Noviembre,12.64,9.41,15.87,982.92,13.0
Castilla-La Mancha,2014,Noviembre,10.58,6.42,14.76,928.26,10.03
Castilla y León,2014,Noviembre,7.92,4.26,11.58,902.97,11.45
Comunidad de Madrid,2014,Noviembre,9.23,5.57,12.89,908.78,10.89
Comunidad Foral de Navarra,2014,Noviembre,11.31,7.27,15.36,969.0,10.51
Comunidad Valenciana,2014,Noviembre,14.36,9.84,18.87,981.87,9.26
Extremadura,2014,Noviembre,12.63,8.84,16.42,970.91,10.3
Galicia,2014,Noviembre,11.33,8.31,14.34,977.08,12.03
País Vasco,2014,Noviembre,13.14,9.79,16.49,988.17,12.83
Principado de Asturias,2014,Noviembre,11.09,8.19,13.98,976.91,11.88
Región de Murcia,2014,Noviembre,14.97,10.12,19.84,986.08,8.9
La Rioja,2014,Noviembre,10.86,6.78,14.92,970.64,8.89
Ceuta,2014,Noviembre,17.03,14.64,19.4,1004.18,10.37
Melilla,2014,Noviembre,17.93,14.58,21.29,1007.98,12.05
Andalucía,2014,Diciembre,10.01,5.12,14.89,986.81,7.97
Aragón,2014,Diciembre,5.95,1.52,10.38,951.99,10.82
Islas Baleares,2014,Diciembre,10.58,6.6,14.56,1021.01,11.61
Cataluña,2014,Diciembre,7.36,2.81,11.9,977.74,9.71
Canarias,2014,Diciembre,17.95,15.12,20.77,999.68,10.81
Cantabria,2014,Diciembre,8.87,5.89,11.85,1000.03,11.39
Castilla-La Mancha,2014,Diciembre,5.83,0.45,11.21,940.61,7.46
Castilla y León,2014,Diciembre,3.75,-0.67,8.15,917.58,8.47
Comunidad de Madrid,2014,Diciembre,5.54,0.63,10.45,922.35,9.51
Comunidad Foral de Navarra,2014,Diciembre,6.56,2.98,10.14,983.14,10.15
Comunidad Valenciana,2014,Diciembre,9.92,4.63,15.21,993.25,9.25
Extremadura,2014,Diciembre,7.84,2.86,12.82,984.54,6.71
Galicia,2014,Diciembre,8.72,5.57,11.87,994.27,8.99
País Vasco,2014,Diciembre,8.23,5.25,11.22,1004.33,10.68
Principado de Asturias,2014,Diciembre,8.57,5.7,11.43,994.86,10.46
Región de Murcia,2014,Diciembre,10.79,5.3,16.28,998.46,8.59
La Rioja,2014,Diciembre,7.51,4.19,10.83,985.64,8.55
Ceuta,2014,Diciembre,14.37,11.75,16.98,1016.05,10.16
Melilla,2014,Diciembre,13.97,10.22,17.71,1019.6,10.36
Andalucía,2015,Enero,9.66,4.24,15.07,987.78,9.25
Aragón,2015,Enero,5.34,-0.07,10.75,950.23,10.99
Islas Baleares,2015,Enero,10.13,5.66,14.58,1021.04,11.59
Cataluña,2015,Enero,7.23,2.05,12.42,976.9,10.16
Canarias,2015,Enero,16.75,14.09,19.42,1001.09,12.8
Cantabria,2015,Enero,7.53,3.86,11.2,998.04,11.65
Castilla-La Mancha,2015,Enero,5.42,-0.94,11.78,940.78,8.94
Castilla y León,2015,Enero,2.9,-2.03,7.83,917.33,9.35
Comunidad de Madrid,2015,Enero,4.99,-0.51,10.48,925.4,9.97
Comunidad Foral de Navarra,2015,Enero,5.83,1.35,10.33,982.04,10.21
Comunidad Valenciana,2015,Enero,9.73,3.63,15.83,993.65,9.8
Extremadura,2015,Enero,7.37,1.64,13.1,984.98,8.31
Galicia,2015,Enero,8.09,4.56,11.63,993.31,10.94
País Vasco,2015,Enero,7.52,3.82,11.22,1001.68,11.96
Principado de Asturias,2015,Enero,7.86,4.27,11.46,992.7,12.07
Región de Murcia,2015,Enero,10.26,3.92,16.62,998.34,9.67
La Rioja,2015,Enero,6.37,1.75,11.01,984.16,9.15
Ceuta,2015,Enero,13.76,11.22,16.31,1017.6,11.23
Melilla,2015,Enero,13.58,9.97,17.19,1020.68,11.65
Andalucía,2015,Febrero,9.81,5.42,14.2,983.48,11.45
Aragón,2015,Febrero,4.58,-0.06,9.23,945.1,12.63
Islas Baleares,2015,Febrero,8.91,5.0,12.83,1015.59,13.6
Cataluña,2015,Febrero,6.67,1.32,12.03,971.74,11.02
Canarias,2015,Febrero,16.27,13.58,18.96,998.31,12.99
Cantabria,2015,Febrero,6.88,3.83,9.91,994.79,14.29
Castilla-La Mancha,2015,Febrero,5.58,0.87,10.29,935.33,11.25
Castilla y León,2015,Febrero,3.08,-1.19,7.35,912.82,11.96
Comunidad de Madrid,2015,Febrero,4.59,0.52,8.66,914.24,13.26
Comunidad Foral de Navarra,2015,Febrero,5.07,1.09,9.05,977.45,11.44
Comunidad Valenciana,2015,Febrero,9.52,4.97,14.08,988.28,12.54
Extremadura,2015,Febrero,8.5,3.41,13.59,980.31,11.05
Galicia,2015,Febrero,7.65,4.25,11.05,991.12,12.08
País Vasco,2015,Febrero,6.29,3.12,9.48,997.59,13.65
